Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id
Czech Republic,27,6.596,1.3092,1.0079,0.7638,0.4142,0.0993,0.0399,2016,203
Czech Republic,23,6.609,1.3527,1.4339,0.7544,0.4909,0.0881,0.0369,2017,203
Belgium,20,6.8635,10.6736,0.9116,72.0016,0.8136,-0.0787,0.6123,2020,56
Belgium,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21,2019,56
Belgium,16,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018,56
Belgium,19,6.937,1.3078,1.2857,0.8967,0.5845,0.2225,0.2254,2015,56
Belgium,18,6.929,1.4254,1.0525,0.8196,0.5135,0.2424,0.2625,2016,56
Belgium,17,6.891,1.4638,1.4623,0.8181,0.5398,0.2315,0.2513,2017,56
United Arab Emirates,21,6.7908,11.11,0.8492,67.0828,0.9413,0.1235,0.5945,2020,784
United Arab Emirates,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,2019,784
United Arab Emirates,20,6.774,2.096,0.776,0.67,0.284,0.186,,2018,784
United Arab Emirates,20,6.901,1.4273,1.1258,0.8092,0.6416,0.2643,0.3858,2015,784
United Arab Emirates,28,6.573,1.5735,0.8711,0.7299,0.5622,0.2659,0.3556,2016,784
United Arab Emirates,21,6.648,1.6263,1.2664,0.7268,0.6083,0.3609,0.3245,2017,784
Malta,22,6.7728,10.5338,0.9304,72.2,0.9249,0.215,0.6585,2020,470
Malta,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2019,470
Malta,22,6.627,1.27,1.525,0.884,0.645,0.376,0.142,2018,470
Malta,37,6.302,1.2074,1.302,0.8872,0.6036,0.5175,0.1359,2015,470
Malta,30,6.488,1.3078,1.0988,0.8032,0.5499,0.5624,0.1755,2016,470
Malta,27,6.527,1.3433,1.4884,0.8219,0.5888,0.5747,0.1531,2017,470
France,23,6.6638,10.5842,0.9371,73.8019,0.8255,-0.1306,0.5835,2020,250
France,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,2019,250
France,23,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018,250
France,29,6.575,1.2778,1.2604,0.9458,0.5501,0.1233,0.2065,2015,250
France,32,6.478,1.3949,1.0051,0.838,0.4656,0.1216,0.1781,2016,250
France,31,6.442,1.4309,1.3878,0.8445,0.4702,0.1298,0.1725,2017,250
Mexico,24,6.465,9.7978,0.8387,68.299,0.8587,-0.1753,0.8068,2020,484
Mexico,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073,2019,484
Mexico,24,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2018,484
Mexico,14,7.187,1.0205,0.9145,0.8144,0.4818,0.1407,0.2131,2015,484
Mexico,21,6.778,1.1151,0.7146,0.7114,0.3771,0.1174,0.1836,2016,484
Mexico,25,6.578,1.1532,1.2109,0.71,0.4127,0.121,0.1328,2017,484
Taiwan,25,6.4554,10.7757,0.8943,69.6,0.7715,-0.0732,0.7319,2020,158
Taiwan,25,6.446,1.368,1.43,0.914,0.351,0.242,0.097,2019,158
Taiwan,26,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2018,158
Taiwan,38,6.298,1.291,1.0762,0.8753,0.3974,0.2538,0.0813,2015,158
Taiwan,34,6.379,1.3973,0.9262,0.7956,0.3238,0.255,0.0663,2016,158
Taiwan,33,6.422,1.4336,1.3846,0.794,0.3615,0.2584,0.0638,2017,158
Uruguay,26,6.4401,9.9482,0.9228,69.0025,0.8924,-0.1011,0.636,2020,858
Uruguay,33,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2019,858
Uruguay,31,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2018,858
Uruguay,32,6.485,1.0617,1.2089,0.8116,0.6036,0.2324,0.2456,2015,858
Uruguay,29,6.545,1.1816,1.0314,0.7218,0.5439,0.1806,0.2139,2016,858
Uruguay,28,6.454,1.2176,1.4122,0.7192,0.5794,0.1751,0.1781,2017,858
Saudi Arabia,27,6.4065,10.7978,0.8741,66.3051,0.8542,-0.1687,0.6826,2020,682
Saudi Arabia,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019,682
Saudi Arabia,33,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2018,682
Saudi Arabia,35,6.411,1.3954,1.0839,0.7202,0.3105,0.1371,0.3252,2015,682
Saudi Arabia,34,6.379,1.4895,0.8483,0.5927,0.379,0.1546,0.3001,2016,682
Saudi Arabia,37,6.344,1.5306,1.2867,0.5901,0.4498,0.1476,0.2734,2017,682
Spain,28,6.4009,10.4629,0.9211,74.4027,0.752,-0.051,0.7659,2020,724
Spain,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079,2019,724
Spain,36,6.31,1.251,1.538,0.965,0.449,0.142,0.074,2018,724
Spain,36,6.329,1.2301,1.3138,0.9556,0.4595,0.1823,0.064,2015,724
Spain,37,6.361,1.3425,1.1294,0.879,0.3754,0.1766,0.0614,2016,724
Spain,34,6.403,1.3844,1.5321,0.889,0.4088,0.1901,0.0709,2017,724
Guatemala,29,6.3989,8.9248,0.8166,64.8089,0.9081,-0.0429,0.7832,2020,320
Guatemala,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,2019,320
Guatemala,30,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2018,320
Guatemala,43,6.123,0.7455,1.0436,0.6442,0.5773,0.2749,0.0947,2015,320
Guatemala,39,6.324,0.8345,0.8712,0.5404,0.5038,0.2881,0.087,2016,320
Guatemala,29,6.454,0.872,1.2556,0.5402,0.5313,0.2835,0.0772,2017,320
Italy,30,6.3874,10.4818,0.8899,73.6017,0.6647,-0.0435,0.8734,2020,380
Italy,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,2019,380
Italy,47,6.0,1.264,1.501,0.946,0.281,0.137,0.028,2018,380
Italy,50,5.948,1.2511,1.1978,0.9545,0.2624,0.2282,0.029,2015,380
Italy,50,5.977,1.355,1.0417,0.851,0.1883,0.1668,0.0256,2016,380
Italy,48,5.964,1.3951,1.4449,0.8531,0.2565,0.1728,0.028,2017,380
Singapore,31,6.3771,11.3955,0.9103,76.8046,0.9266,0.0299,0.1098,2020,702
Singapore,34,6.262,1.572,1.463,1.141,0.556,0.271,0.453,2019,702
Singapore,34,6.343,1.529,1.451,1.008,0.631,0.261,0.457,2018,702
Singapore,24,6.798,1.5219,1.02,1.0252,0.5425,0.311,0.4921,2015,702
Singapore,22,6.739,1.6456,0.8676,0.9472,0.4877,0.3271,0.4699,2016,702
Singapore,26,6.572,1.6923,1.3538,0.9495,0.5498,0.346,0.4643,2017,702
Brazil,32,6.3756,9.5664,0.8967,66.4802,0.7998,-0.1018,0.7706,2020,76
Brazil,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019,76
Brazil,28,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018,76
Brazil,16,6.983,0.9812,1.2329,0.697,0.4905,0.1457,0.1752,2015,76
Brazil,17,6.952,1.0875,1.0394,0.6142,0.4042,0.1578,0.1417,2016,76
Brazil,22,6.635,1.1074,1.4313,0.6166,0.4375,0.1623,0.1111,2017,76
Slovenia,33,6.3634,10.3923,0.9396,71.103,0.9361,-0.0806,0.8171,2020,705
Slovenia,44,6.118,1.258,1.523,0.953,0.564,0.144,0.057,2019,705
Slovenia,51,5.948,1.219,1.506,0.856,0.633,0.16,0.051,2018,705
Slovenia,55,5.848,1.185,1.2738,0.8734,0.6086,0.2533,0.0379,2015,705
Slovenia,63,5.768,1.2995,1.0561,0.7915,0.5316,0.2574,0.0364,2016,705
Slovenia,62,5.758,1.3412,1.4525,0.7908,0.5726,0.2426,0.0451,2017,705
El Salvador,34,6.3483,8.9091,0.8061,66.1083,0.8338,-0.1211,0.7543,2020,222
El Salvador,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,2019,222
El Salvador,40,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2018,222
El Salvador,42,6.13,0.7645,1.0251,0.6774,0.4035,0.1069,0.1178,2015,222
El Salvador,46,6.068,0.8737,0.8098,0.596,0.3727,0.0888,0.1061,2016,222
El Salvador,45,6.003,0.9098,1.1821,0.596,0.4325,0.0783,0.09,2017,222
Panama,36,6.3048,10.0342,0.9021,69.603,0.8804,-0.1539,0.8516,2020,591
Panama,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054,2019,591
Panama,27,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2018,591
